
Host: UIO-5CG2126K37

Timers On : Fri Nov 22 13:31:19 2024
Timers Off: Fri Nov 22 13:32:55 2024

Wall Time:       96.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | DFH: compute_JK()               :      1.667u      0.067s      0.901w   1163 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.002w   1163 calls
| | | DFH: compute_J                :      0.317u      0.033s      0.153w   1163 calls
| | | DFH: compute_K                :      1.317u      0.000s      0.675w   1163 calls
| | Libint2ERI::Libint2ERI          :      1.417u      0.000s      0.710w    635 calls
| | build_JK_matrices()             :     34.617u      0.000s     21.176w    635 calls
| JK: AO2USO                        :      0.000u      0.000s      0.003w   1798 calls
HF: Form F                          :      0.000u      0.033s      0.016w   1798 calls
HF: Form D                          :      0.017u      0.000s      0.010w   1798 calls
HF: DIIS                            :      5.000u      0.000s      3.276w   1680 calls
HF: Form C                          :      0.750u      0.000s      0.481w   1680 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Fri Nov 22 13:35:16 2024
Timers Off: Fri Nov 22 13:40:04 2024

Wall Time:      287.90 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.650u      0.000s      0.936w    118 calls
Libint2ERI::Libint2ERI              :      8.533u      0.000s      4.986w   1132 calls
DFH: initialize()                   :     15.200u      1.000s     12.483w    118 calls
DFH: AO Construction                :      7.617u      0.033s      4.457w    118 calls
DFH: AO-Met. Contraction            :      2.583u      0.250s      1.843w    118 calls
HF: Form core H                     :      0.567u      0.367s      0.974w    118 calls
HF: Form S/X                        :      0.100u      0.050s      0.087w    118 calls
HF: Guess                           :      7.600u      1.267s     12.014w    118 calls
SAD Guess                           :      7.150u      1.267s     11.825w    118 calls
HF: Form G                          :    374.133u      0.250s    225.600w   2119 calls
JK: D                               :      0.017u      0.000s      0.031w   2119 calls
JK: USO2AO                          :      0.000u      0.000s      0.007w   2119 calls
JK: JK                              :    373.900u      0.217s    225.443w   2119 calls
DFH: compute_JK()                   :      8.183u      0.050s      5.007w   1341 calls
DFH: Grabbing AOs                   :      0.000u      0.033s      0.002w   1341 calls
DFH: compute_J                      :      1.767u      0.017s      1.132w   1341 calls
DFH: compute_K                      :      6.100u      0.000s      3.699w   1341 calls
build_JK_matrices()                 :    357.683u      0.167s    215.648w    778 calls
JK: AO2USO                          :      0.000u      0.033s      0.004w   2119 calls
HF: Form F                          :      0.050u      0.000s      0.036w   2119 calls
HF: Form D                          :      0.067u      0.033s      0.022w   2119 calls
HF: DIIS                            :      7.667u      0.000s      4.480w   2001 calls
HF: Form C                          :      1.383u      0.000s      1.078w   2001 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      1.650u      0.000s      0.936w    118 calls
| Libint2ERI::Libint2ERI            :      1.150u      0.000s      0.592w    118 calls
DFH: initialize()                   :     15.200u      1.000s     12.483w    118 calls
| Libint2ERI::Libint2ERI            :      0.933u      0.000s      0.539w    236 calls
| DFH: AO Construction              :      7.617u      0.033s      4.457w    118 calls
| DFH: AO-Met. Contraction          :      2.583u      0.250s      1.843w    118 calls
HF: Form core H                     :      0.567u      0.367s      0.974w    118 calls
HF: Form S/X                        :      0.100u      0.050s      0.087w    118 calls
HF: Guess                           :      7.600u      1.267s     12.014w    118 calls
| SAD Guess                         :      7.150u      1.267s     11.825w    118 calls
HF: Form G                          :    374.133u      0.250s    225.600w   2119 calls
| JK: D                             :      0.017u      0.000s      0.031w   2119 calls
| JK: USO2AO                        :      0.000u      0.000s      0.007w   2119 calls
| JK: JK                            :    373.900u      0.217s    225.443w   2119 calls
| | DFH: compute_JK()               :      8.183u      0.050s      5.007w   1341 calls
| | | DFH: Grabbing AOs             :      0.000u      0.033s      0.002w   1341 calls
| | | DFH: compute_J                :      1.767u      0.017s      1.132w   1341 calls
| | | DFH: compute_K                :      6.100u      0.000s      3.699w   1341 calls
| | Libint2ERI::Libint2ERI          :      6.450u      0.000s      3.855w    778 calls
| | build_JK_matrices()             :    357.683u      0.167s    215.648w    778 calls
| JK: AO2USO                        :      0.000u      0.033s      0.004w   2119 calls
HF: Form F                          :      0.050u      0.000s      0.036w   2119 calls
HF: Form D                          :      0.067u      0.033s      0.022w   2119 calls
HF: DIIS                            :      7.667u      0.000s      4.480w   2001 calls
HF: Form C                          :      1.383u      0.000s      1.078w   2001 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Fri Nov 22 13:43:09 2024
Timers Off: Fri Nov 22 13:51:57 2024

Wall Time:      527.93 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.917u      0.067s      0.982w    118 calls
Libint2ERI::Libint2ERI              :      8.833u      0.033s      4.605w   1011 calls
DFH: initialize()                   :     28.683u      2.317s     21.374w    118 calls
DFH: AO Construction                :     13.750u      0.233s      8.498w    118 calls
DFH: AO-Met. Contraction            :      8.433u      1.300s      5.737w    118 calls
HF: Form core H                     :      0.567u      0.367s      1.068w    118 calls
HF: Form S/X                        :      0.317u      0.017s      0.161w    118 calls
HF: Guess                           :      7.767u      1.483s     12.876w    118 calls
SAD Guess                           :      7.450u      1.483s     12.675w    118 calls
HF: Form G                          :    742.533u      0.117s    447.561w   2003 calls
JK: D                               :      0.033u      0.000s      0.047w   2003 calls
JK: USO2AO                          :      0.017u      0.000s      0.009w   2003 calls
JK: JK                              :    742.350u      0.117s    447.362w   2003 calls
DFH: compute_JK()                   :     21.133u      0.033s     13.052w   1346 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.003w   1346 calls
DFH: compute_J                      :      4.650u      0.000s      3.216w   1346 calls
DFH: compute_K                      :     15.750u      0.000s      9.487w   1346 calls
build_JK_matrices()                 :    712.900u      0.050s    429.992w    657 calls
JK: AO2USO                          :      0.017u      0.000s      0.004w   2003 calls
HF: Form F                          :      0.117u      0.000s      0.055w   2003 calls
HF: Form D                          :      0.033u      0.000s      0.031w   2003 calls
HF: DIIS                            :      8.100u      0.000s      4.807w   1885 calls
HF: Form C                          :      3.100u      0.033s      1.776w   1885 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      1.917u      0.067s      0.982w    118 calls
| Libint2ERI::Libint2ERI            :      1.383u      0.017s      0.626w    118 calls
DFH: initialize()                   :     28.683u      2.317s     21.374w    118 calls
| Libint2ERI::Libint2ERI            :      1.050u      0.000s      0.572w    236 calls
| DFH: AO Construction              :     13.750u      0.233s      8.498w    118 calls
| DFH: AO-Met. Contraction          :      8.433u      1.300s      5.737w    118 calls
HF: Form core H                     :      0.567u      0.367s      1.068w    118 calls
HF: Form S/X                        :      0.317u      0.017s      0.161w    118 calls
HF: Guess                           :      7.767u      1.483s     12.876w    118 calls
| SAD Guess                         :      7.450u      1.483s     12.675w    118 calls
HF: Form G                          :    742.533u      0.117s    447.561w   2003 calls
| JK: D                             :      0.033u      0.000s      0.047w   2003 calls
| JK: USO2AO                        :      0.017u      0.000s      0.009w   2003 calls
| JK: JK                            :    742.350u      0.117s    447.362w   2003 calls
| | DFH: compute_JK()               :     21.133u      0.033s     13.052w   1346 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.003w   1346 calls
| | | DFH: compute_J                :      4.650u      0.000s      3.216w   1346 calls
| | | DFH: compute_K                :     15.750u      0.000s      9.487w   1346 calls
| | Libint2ERI::Libint2ERI          :      6.400u      0.017s      3.407w    657 calls
| | build_JK_matrices()             :    712.900u      0.050s    429.992w    657 calls
| JK: AO2USO                        :      0.017u      0.000s      0.004w   2003 calls
HF: Form F                          :      0.117u      0.000s      0.055w   2003 calls
HF: Form D                          :      0.033u      0.000s      0.031w   2003 calls
HF: DIIS                            :      8.100u      0.000s      4.807w   1885 calls
HF: Form C                          :      3.100u      0.033s      1.776w   1885 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Fri Nov 22 13:54:45 2024
Timers Off: Fri Nov 22 14:38:06 2024

Wall Time:     2601.86 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      4.350u      0.000s      2.665w    118 calls
Libint2ERI::Libint2ERI              :     19.783u      0.017s     12.355w   1024 calls
DFH: initialize()                   :     68.850u     13.300s     52.650w    118 calls
DFH: AO Construction                :     32.067u      2.800s     21.016w    156 calls
DFH: AO-Met. Contraction            :     28.850u      8.967s     22.900w    156 calls
HF: Form core H                     :      0.783u      0.417s      1.251w    118 calls
HF: Form S/X                        :      0.717u      0.000s      0.494w    118 calls
HF: Guess                           :      9.850u      1.567s     14.212w    118 calls
SAD Guess                           :      9.567u      1.567s     14.034w    118 calls
HF: Form G                          :   4044.333u      3.100s   2445.288w   2003 calls
JK: D                               :      0.100u      0.017s      0.096w   2003 calls
JK: USO2AO                          :      0.000u      0.000s      0.013w   2003 calls
JK: JK                              :   4043.750u      3.050s   2444.930w   2003 calls
DFH: compute_JK()                   :     69.617u      1.700s     43.150w   1333 calls
DFH: Grabbing AOs                   :      0.033u      0.000s      0.003w   1334 calls
DFH: compute_J                      :     18.317u      0.000s     11.235w   1334 calls
DFH: compute_K                      :     49.867u      0.017s     30.201w   1334 calls
build_JK_matrices()                 :   3957.567u      1.333s   2391.597w    670 calls
JK: AO2USO                          :      0.000u      0.000s      0.005w   2003 calls
HF: Form F                          :      0.100u      0.000s      0.157w   2003 calls
HF: Form D                          :      0.167u      0.033s      0.069w   2003 calls
HF: DIIS                            :     13.233u      0.050s      7.228w   1885 calls
HF: Form C                          :      8.500u      0.017s      5.726w   1885 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      4.350u      0.000s      2.665w    118 calls
| Libint2ERI::Libint2ERI            :      2.933u      0.000s      1.798w    118 calls
DFH: initialize()                   :     68.850u     13.300s     52.650w    118 calls
| Libint2ERI::Libint2ERI            :      2.350u      0.017s      1.504w    236 calls
| DFH: AO Construction              :     32.067u      2.800s     21.016w    156 calls
| DFH: AO-Met. Contraction          :     28.850u      8.967s     22.900w    156 calls
HF: Form core H                     :      0.783u      0.417s      1.251w    118 calls
HF: Form S/X                        :      0.717u      0.000s      0.494w    118 calls
HF: Guess                           :      9.850u      1.567s     14.212w    118 calls
| SAD Guess                         :      9.567u      1.567s     14.034w    118 calls
HF: Form G                          :   4044.333u      3.100s   2445.288w   2003 calls
| JK: D                             :      0.100u      0.017s      0.096w   2003 calls
| JK: USO2AO                        :      0.000u      0.000s      0.013w   2003 calls
| JK: JK                            :   4043.750u      3.050s   2444.930w   2003 calls
| | DFH: compute_JK()               :     69.617u      1.700s     43.150w   1333 calls
| | | DFH: Grabbing AOs             :      0.033u      0.000s      0.003w   1334 calls
| | | DFH: compute_J                :     18.317u      0.000s     11.235w   1334 calls
| | | DFH: compute_K                :     49.867u      0.017s     30.201w   1334 calls
| | Libint2ERI::Libint2ERI          :     14.500u      0.000s      9.053w    670 calls
| | build_JK_matrices()             :   3957.567u      1.333s   2391.597w    670 calls
| JK: AO2USO                        :      0.000u      0.000s      0.005w   2003 calls
HF: Form F                          :      0.100u      0.000s      0.157w   2003 calls
HF: Form D                          :      0.167u      0.033s      0.069w   2003 calls
HF: DIIS                            :     13.233u      0.050s      7.228w   1885 calls
HF: Form C                          :      8.500u      0.017s      5.726w   1885 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Fri Nov 22 17:33:32 2024
Timers Off: Fri Nov 22 17:33:46 2024

Wall Time:       14.13 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Mon Nov 25 13:38:51 2024
Timers Off: Mon Nov 25 13:39:06 2024

Wall Time:       15.36 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.018w      2 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.024w     16 calls
DFH: initialize()                   :      0.083u      0.000s      0.118w      2 calls
DFH: AO Construction                :      0.000u      0.000s      0.010w      2 calls
DFH: AO-Met. Contraction            :      0.033u      0.000s      0.001w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.009w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w      2 calls
HF: Guess                           :      0.083u      0.050s      0.155w      2 calls
SAD Guess                           :      0.083u      0.050s      0.153w      2 calls
HF: Form G                          :      0.083u      0.000s      0.098w     27 calls
JK: D                               :      0.000u      0.000s      0.000w     27 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     27 calls
JK: JK                              :      0.083u      0.000s      0.097w     27 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.004w     17 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     17 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w     17 calls
DFH: compute_K                      :      0.000u      0.000s      0.003w     17 calls
build_JK_matrices()                 :      0.067u      0.000s      0.075w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     27 calls
HF: Form F                          :      0.000u      0.000s      0.000w     27 calls
HF: Form D                          :      0.000u      0.000s      0.000w     27 calls
HF: DIIS                            :      0.133u      0.000s      0.043w     25 calls
HF: Form C                          :      0.000u      0.000s      0.005w     25 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.018w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.015w      2 calls
DFH: initialize()                   :      0.083u      0.000s      0.118w      2 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.003w      4 calls
| DFH: AO Construction              :      0.000u      0.000s      0.010w      2 calls
| DFH: AO-Met. Contraction          :      0.033u      0.000s      0.001w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.009w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w      2 calls
HF: Guess                           :      0.083u      0.050s      0.155w      2 calls
| SAD Guess                         :      0.083u      0.050s      0.153w      2 calls
HF: Form G                          :      0.083u      0.000s      0.098w     27 calls
| JK: D                             :      0.000u      0.000s      0.000w     27 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     27 calls
| JK: JK                            :      0.083u      0.000s      0.097w     27 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.004w     17 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     17 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.001w     17 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.003w     17 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.005w     10 calls
| | build_JK_matrices()             :      0.067u      0.000s      0.075w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     27 calls
HF: Form F                          :      0.000u      0.000s      0.000w     27 calls
HF: Form D                          :      0.000u      0.000s      0.000w     27 calls
HF: DIIS                            :      0.133u      0.000s      0.043w     25 calls
HF: Form C                          :      0.000u      0.000s      0.005w     25 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Mon Nov 25 13:55:02 2024
Timers Off: Mon Nov 25 13:55:16 2024

Wall Time:       13.81 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.002w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.003w      8 calls
DFH: initialize()                   :      0.000u      0.000s      0.039w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.001w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.033u      0.067s      0.075w      1 calls
SAD Guess                           :      0.033u      0.067s      0.075w      1 calls
HF: Form G                          :      0.000u      0.000s      0.010w     13 calls
JK: D                               :      0.000u      0.000s      0.000w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     13 calls
JK: JK                              :      0.000u      0.000s      0.010w     13 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.000w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.000u      0.000s      0.000w      8 calls
DFH: compute_K                      :      0.000u      0.000s      0.000w      8 calls
build_JK_matrices()                 :      0.000u      0.000s      0.002w      5 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.000w     13 calls
HF: Form D                          :      0.000u      0.000s      0.000w     13 calls
HF: DIIS                            :      0.033u      0.000s      0.019w     12 calls
HF: Form C                          :      0.033u      0.000s      0.002w     12 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.002w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      1 calls
DFH: initialize()                   :      0.000u      0.000s      0.039w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      2 calls
| DFH: AO Construction              :      0.000u      0.000s      0.001w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.033u      0.067s      0.075w      1 calls
| SAD Guess                         :      0.033u      0.067s      0.075w      1 calls
HF: Form G                          :      0.000u      0.000s      0.010w     13 calls
| JK: D                             :      0.000u      0.000s      0.000w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     13 calls
| JK: JK                            :      0.000u      0.000s      0.010w     13 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.000w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.000w      8 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      5 calls
| | build_JK_matrices()             :      0.000u      0.000s      0.002w      5 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.000w     13 calls
HF: Form D                          :      0.000u      0.000s      0.000w     13 calls
HF: DIIS                            :      0.033u      0.000s      0.019w     12 calls
HF: Form C                          :      0.033u      0.000s      0.002w     12 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Mon Nov 25 13:55:43 2024
Timers Off: Mon Nov 25 13:55:45 2024

Wall Time:        1.88 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.003w      2 calls
Libint2ERI::Libint2ERI              :      0.050u      0.000s      0.008w     16 calls
DFH: initialize()                   :      0.100u      0.000s      0.086w      2 calls
DFH: AO Construction                :      0.000u      0.000s      0.007w      2 calls
DFH: AO-Met. Contraction            :      0.033u      0.000s      0.001w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.022w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.050u      0.033s      0.155w      2 calls
SAD Guess                           :      0.017u      0.033s      0.154w      2 calls
HF: Form G                          :      0.100u      0.000s      0.083w     27 calls
JK: D                               :      0.000u      0.000s      0.000w     27 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     27 calls
JK: JK                              :      0.100u      0.000s      0.082w     27 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.003w     17 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     17 calls
DFH: compute_J                      :      0.000u      0.000s      0.000w     17 calls
DFH: compute_K                      :      0.000u      0.000s      0.002w     17 calls
build_JK_matrices()                 :      0.083u      0.000s      0.067w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     27 calls
HF: Form F                          :      0.000u      0.000s      0.000w     27 calls
HF: Form D                          :      0.000u      0.000s      0.000w     27 calls
HF: DIIS                            :      0.050u      0.000s      0.034w     25 calls
HF: Form C                          :      0.000u      0.000s      0.005w     25 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.003w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      2 calls
DFH: initialize()                   :      0.100u      0.000s      0.086w      2 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.002w      4 calls
| DFH: AO Construction              :      0.000u      0.000s      0.007w      2 calls
| DFH: AO-Met. Contraction          :      0.033u      0.000s      0.001w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.022w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.050u      0.033s      0.155w      2 calls
| SAD Guess                         :      0.017u      0.033s      0.154w      2 calls
HF: Form G                          :      0.100u      0.000s      0.083w     27 calls
| JK: D                             :      0.000u      0.000s      0.000w     27 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     27 calls
| JK: JK                            :      0.100u      0.000s      0.082w     27 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.003w     17 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     17 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w     17 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.002w     17 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.004w     10 calls
| | build_JK_matrices()             :      0.083u      0.000s      0.067w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     27 calls
HF: Form F                          :      0.000u      0.000s      0.000w     27 calls
HF: Form D                          :      0.000u      0.000s      0.000w     27 calls
HF: DIIS                            :      0.050u      0.000s      0.034w     25 calls
HF: Form C                          :      0.000u      0.000s      0.005w     25 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Mon Nov 25 14:11:44 2024
Timers Off: Mon Nov 25 14:11:46 2024

Wall Time:        1.87 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.003w      2 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.008w     16 calls
DFH: initialize()                   :      0.017u      0.000s      0.083w      2 calls
DFH: AO Construction                :      0.000u      0.000s      0.007w      2 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.017w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.050u      0.033s      0.106w      2 calls
SAD Guess                           :      0.017u      0.033s      0.105w      2 calls
HF: Form G                          :      0.150u      0.000s      0.084w     27 calls
JK: D                               :      0.000u      0.000s      0.000w     27 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     27 calls
JK: JK                              :      0.150u      0.000s      0.083w     27 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.003w     17 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     17 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w     17 calls
DFH: compute_K                      :      0.000u      0.000s      0.002w     17 calls
build_JK_matrices()                 :      0.117u      0.000s      0.067w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     27 calls
HF: Form F                          :      0.000u      0.000s      0.000w     27 calls
HF: Form D                          :      0.000u      0.000s      0.000w     27 calls
HF: DIIS                            :      0.083u      0.000s      0.035w     25 calls
HF: Form C                          :      0.000u      0.000s      0.005w     25 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.003w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      2 calls
DFH: initialize()                   :      0.017u      0.000s      0.083w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      4 calls
| DFH: AO Construction              :      0.000u      0.000s      0.007w      2 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.017w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.050u      0.033s      0.106w      2 calls
| SAD Guess                         :      0.017u      0.033s      0.105w      2 calls
HF: Form G                          :      0.150u      0.000s      0.084w     27 calls
| JK: D                             :      0.000u      0.000s      0.000w     27 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     27 calls
| JK: JK                            :      0.150u      0.000s      0.083w     27 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.003w     17 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     17 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.001w     17 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.002w     17 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.004w     10 calls
| | build_JK_matrices()             :      0.117u      0.000s      0.067w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     27 calls
HF: Form F                          :      0.000u      0.000s      0.000w     27 calls
HF: Form D                          :      0.000u      0.000s      0.000w     27 calls
HF: DIIS                            :      0.083u      0.000s      0.035w     25 calls
HF: Form C                          :      0.000u      0.000s      0.005w     25 calls

**************************************************************************************

Host: UIO-5CG2126K37

